Game Number,Date,Points Per Game,Opponent,
1,18-Oct,31,GSW,L
2,20-Oct,20,LAC,L
3,23-Oct,31,POR,L
4,26-Oct,19,DEN,L
5,28-Oct,28,MIN,L
6,30-Oct,26,DEN,W
7,2-Nov,20,NOP,W
8,4-Nov,17,UTA,L
9,6-Nov,27,CLE,L
10,9-Nov,30,LAC,L
11,25-Nov,21,SAS,W
12,26-Nov,39,SAS,W
13,28-Nov,21,IND,L
14,30-Nov,31,POR,W
15,2-Dec,28,MIL,W
16,4-Dec,29,WAS,W
17,6-Dec,21,CLE,L
18,9-Dec,23,PHI,L
19,11-Dec,35,DET,W
20,13-Dec,33,BOS,L
21,16-Dec,30,DEN,W
22,18-Dec,33,WAS,W
23,21-Dec,31,SAC,L
24,23-Dec,34,CHA,L
25,25-Dec,38,DAL,L
26,27-Dec,28,ORL,W
27,28-Dec,27,MIA,L
28,30-Dec,47,ATL,W
29,2-Jan,43,CHA,W
30,6-Jan,25,ATL,W
31,7-Jan,37,SAC,W
32,12-Jan,24,DAL,L
33,15-Jan,35,PHI,L
34,16-Jan,48,HOU,W
35,18-Jan,32,SAC,L
36,20-Jan,23,MEM,W
37,22-Jan,37,POR,W
38,24-Jan,46,LAC,L
39,25-Jan,20,SAS,W
40,28-Jan,41,BOS,L
41,31-Jan,28,NYK,W
42,2-Feb,26,IND,W
43,4-Feb,27,NOP,L
44,7-Feb,38,OKC,L
45,15-Feb,21,NOP,W
46,23-Feb,13,GSW,W
47,26-Feb,26,DAL,W
48,26-Mar,19,CHI,L
49,29-Mar,25,CHI,W
50,31-Mar,18,MIN,W
