Game Number,Date,Points Per Game,Opponent,Win/Loss
1,18-Oct,33,LAL,W
2,21-Oct,34,DEN,L
3,23-Oct,33,SAC,W
4,25-Oct,21,PHX,L
5,23-Oct,33,MIA,W
6,29-Oct,31,CHA,L
7,30-Oct,32,DET,L
8,1-Nov,23,MIA,L
9,3-Nov,39,ORL,L
10,7-Nov,47,SAC,W
11,11-Nov,40,CLE,W
12,13-Nov,27,SAC,L
13,14-Nov,16,SAS,W
14,16-Nov,50,PHX,L
15,18-Nov,24,NYK,W
16,20-Nov,33,HOU,W
17,23-Nov,22,LAC,W
18,25-Nov,33,UTA,W
19,27-Nov,25,MIN,W
20,29-Nov,32,DAL,L
21,2-Dec,19,CHI,W
22,3-Dec,30,HOU,W
23,5-Dec,12,IND,L
24,10-Dec,32,BOS,W
25,13-Dec,20,MIL,L
26,14-Dec,38,IND,L
27,10-Jan,24,PHX,L
28,13-Jan,15,SAS,W
29,15-Jan,20,CHI,L
30,16-Jan,41,WAS,W
31,19-Jan,29,BOS,L
32,22-Jan,26,BKN,L
33,25-Jan,34,MEM,W
34,27-Jan,35,TOR,W
35,30-Jan,38,OKC,W
36,1-Feb,29,MIN,L
37,2-Feb,28,DEN,L
38,4-Feb,21,DAL,W
39,5-Mar,27,LAL,L
40,7-Mar,40,OKC,L
41,9-Mar,29,MEM,L
42,11-Mar,36,MIL,W
43,13-Mar,23,PHX,W
44,15-Mar,50,LAC,L
45,17-Mar,31,ATL,L
46,18-Mar,16,MEM,L
47,20-Mar,30,HOU,W
48,22-Mar,20,DAL,W
49,24-Mar,29,PHI,W
50,26-Mar,20,MIN,L
